Cluster Name,Frequency,Questions Count,Questions
Obtaining a degree,1,1,To obtain graduate degree
Scheduling a Zoom meeting with the financial aid department,1,1,Can i schedule a financial aid appointmnet over zoom
Public health and public health major,1,1,Public health
Art therapy and resources,1,1,Art therapy
Duration of the open house,1,1,How long is open house
Federal Work Study program,1,1,Federal work study agreement
Campus security measures and systems,1,1,Is there campus security
GPA requirements for merit scholarships,1,1,What gpa is needed to obtain a merit scholarship
Locating the print shop,1,1,Where is the print shop
Application timeline for international students at the University of Calgary,1,1,Are applications for international students open
Lost identification (ID),1,1,Lost id
1098T form for international students,1,1,Yes but its different for international students
Degree programs for becoming a registered dietitian,1,1,Are there any programs here that would prepare me to become a registered dietitian nutritionist
Requirements and considerations for obtaining a student visa,1,1,Do i need a student visa
Accessing and troubleshooting a portal account,1,1,If i received an id but no pin how do i access my portal
Pursuing a bachelor's degree in civil engineering,1,1,Iwant to study civil engineering bachelor
Tuition rates for specific academic years,1,1,20242025 tuition
Availability of Bachelor's in Business Administration programs,1,1,Are you guys offering bachelors degree in business administration
Various programs,1,1,Plunge program application
Duration of the pharmacy program,1,1,How much time take the pharmd program
Housing Room Assignment: Single vs. Double,1,1,How do i get a single
Transfer forms and documents,1,1,Transfer form
Rolling admissions,1,1,When does rolling admission notifications come out
Start date of the accelerated nursing program,1,1,When does the accelerated nursing program start
Master's degree in Artificial Intelligence,1,1,Masters in ai information
Registering for classes through an online portal,1,1,What is the name of the portal to sign up for classes
Accessing and finding the Handshake platform,1,1,Wheres handshake
Filling out a form or survey,1,1,When should i fill it out
Issues with FAFSA PIN and access,1,1,Not that how do i access my fafsa package when i forgot the pin number
Creating and accessing login information for new students,1,1,I am a new admitted student where can i find my login information
New user registration or account creation,1,1,I am a new user
Trouble accessing grades,1,1,Cant access grades
Classes starting in March,1,1,The classes begin march 13th
Registrar's office address,1,1,Address for registrar
Verifying student enrollment,1,1,Need to verify a former students attendancedegree
Registering for a parking permit,1,1,I would like to register for my parking permit but do not know how
Applying for scholarships as a high school student,1,1,How can i apply for a full scholarship as a highschool student
Finding the new student checklist,1,1,I am looking for the new student check list
Processing time for electronic transcripts,1,1,How long do electronic transcripts take
COVID-19 and remote learning,1,1,Is a remote learning
Parchment transcript requests and services,1,1,Transcript parchment
Bachelor's degree in Business Administration programs,1,1,Is business administration a bachelors degree
Graduate education and graduation,1,1,Graduate graduation
Veterans Affairs Representatives,1,1,Who is the veterans office representative
Announcement of graduate assistantships,1,1,I wish to know when does graduate assistantships results get announced
Trouble finding or locating a temporary pin,1,1,I cant find where the temporary pin is located in my email
Exploring dorm room appearance and information,1,1,Were can i find info about dorm rooms
Dining dollars and Wiscard account funds,1,1,Dinning dollars
User ID and PIN retrieval or troubleshooting,1,1,User id and pin issue
Acceptance of part-time students,1,1,Do they offer part time students
Paying tuition online,1,1,Can you send me a link to pay my sons tuition online by card
Health science and related fields,1,1,Health science
Out of state graduate tuition costs,1,1,How much would tuition be for a masters degree for an out of state student
Room pricing and cost,1,1,Room prices
Application fees and tuition fees for various graduate programs,1,1,I wanted to know about the application fee of phd in biology
Receiving and sending packages on campus,1,1,Will ups ship to the university mailroom what is the best address to give to ups for delivery on campus
